Time,Forecast time,Temperature,Humidity,Wind,Pressure
2023-01-20T05:00:00,2023-03-26T08:08:01,9.2,47.88,7.7,41.478
2023-01-20T06:00:00,2023-03-26T08:07:01,10.1,40.52,7.6,36.408
2023-01-20T07:00:00,2023-03-26T08:06:01,86.1,60.91,2.8,48.298
2023-01-20T08:00:00,2023-03-26T08:05:01,84.5,37.78,2.4,30.32
2023-01-20T09:00:00,2023-03-26T08:04:01,-19,38.69,6.1,38.372
2023-01-20T10:00:00,2023-03-26T08:03:02,-43.7,44.2,6.8,41.091
2023-01-20T11:00:00,2023-03-26T08:02:01,-19.9,30,8.9,38.099
2023-01-20T12:00:00,2023-03-26T08:01:01,5.2,45.12,7.7,31.925
2023-01-20T13:00:00,2023-03-26T08:00:01,62.6,39.05,4.2,35.723
2023-03-27T09:00:00,2023-03-26T08:00:01,17,69.02,6.7,40.777
2023-03-27T08:00:00,2023-03-26T08:00:01,-42.2,50.97,4.7,35.806
2023-03-27T07:00:00,2023-03-26T08:00:01,-25.2,44.05,0.6,42.961
2023-03-27T06:00:00,2023-03-26T08:00:01,86.2,66.19,4.7,34.506
2023-03-27T05:00:00,2023-03-26T08:00:01,87.2,60.03,4.2,45.407
2023-03-27T04:00:00,2023-03-26T08:00:01,26.9,55.68,5.4,44.198
2023-03-27T03:00:00,2023-03-26T08:00:01,20.9,44.76,8.7,30.882
2023-03-27T02:00:00,2023-03-26T08:00:01,72.2,43.86,1,29.83
2023-03-27T01:00:00,2023-03-26T08:00:01,35.9,33.43,2.8,34.389
2023-03-27T00:00:00,2023-03-26T08:00:01,-45.8,41.81,8.6,45.405
2023-03-26T23:00:00,2023-03-26T08:00:01,-18.3,62.28,6.5,42.105
2023-03-26T22:00:00,2023-03-26T08:00:01,89.9,37.06,9.4,33.958
2023-03-26T21:00:00,2023-03-26T08:00:01,-52.3,45.24,5.9,46.915
2023-03-26T20:00:00,2023-03-26T08:00:01,76.1,69.19,6.2,39.109
2023-03-26T19:00:00,2023-03-26T08:00:01,20,66.47,9.5,49.035
