Time,Forecast time,Temperature,Humidity,Wind,Pressure
2023-01-20T05:00:00,2023-03-26T08:08:01,5.9,62.46,6.4,30.859
2023-01-20T06:00:00,2023-03-26T08:07:01,-35.4,31.53,0.1,29.246
2023-01-20T07:00:00,2023-03-26T08:06:01,10.6,44.73,8,39.808
2023-01-20T08:00:00,2023-03-26T08:05:01,-25.7,54.84,2.4,48.916
2023-01-20T09:00:00,2023-03-26T08:04:01,28.5,36.4,5,39.949
2023-01-20T10:00:00,2023-03-26T08:03:02,-12,54.14,7.1,43.475
2023-01-20T11:00:00,2023-03-26T08:02:01,-13.4,62.18,0,29.207
2023-01-20T12:00:00,2023-03-26T08:01:01,41.4,69.88,8.6,40.878
2023-01-20T13:00:00,2023-03-26T08:00:01,47.8,66.25,5.7,29.831
2023-03-27T09:00:00,2023-03-26T08:00:01,57.3,60.72,6,41.99
2023-03-27T08:00:00,2023-03-26T08:00:01,-52,44.59,9.6,46.626
2023-03-27T07:00:00,2023-03-26T08:00:01,36.6,30.47,8.2,44.504
2023-03-27T06:00:00,2023-03-26T08:00:01,-20.3,42.7,3.3,31.231
2023-03-27T05:00:00,2023-03-26T08:00:01,47.6,38.15,4.8,38.321
2023-03-27T04:00:00,2023-03-26T08:00:01,22.1,40.97,1.1,32.817
2023-03-27T03:00:00,2023-03-26T08:00:01,-32.8,54.05,7,41.324
2023-03-27T02:00:00,2023-03-26T08:00:01,33.7,67.19,1,31.684
2023-03-27T01:00:00,2023-03-26T08:00:01,-4.2,56.05,4.1,42.673
2023-03-27T00:00:00,2023-03-26T08:00:01,24.5,33.96,8.1,40.902
2023-03-26T23:00:00,2023-03-26T08:00:01,-29.2,61.83,2.4,49.746
2023-03-26T22:00:00,2023-03-26T08:00:01,46.1,45.78,8.8,46.647
2023-03-26T21:00:00,2023-03-26T08:00:01,86.7,53.87,0.7,44.712
2023-03-26T20:00:00,2023-03-26T08:00:01,-4.1,33.35,1.8,30.067
2023-03-26T19:00:00,2023-03-26T08:00:01,-12.1,31.31,5.6,36.174
