Time,Forecast time,Temperature,Humidity,Wind,Pressure
2023-03-19T09:00:00,2023-03-25T08:52:01,-17.4,33.21,0.3,30.589
2023-03-19T10:00:00,2023-03-25T08:51:01,68,54.09,9.7,47.17
2023-03-19T11:00:00,2023-03-25T08:50:01,-16,59.34,7,30.72
2023-03-19T12:00:00,2023-03-25T08:49:01,74.2,44.66,3.4,34.634
2023-03-19T13:00:00,2023-03-25T08:48:02,64.2,61.41,9.1,43.55
2023-03-19T14:00:00,2023-03-25T08:47:01,1.6,36.07,3,36.306
2023-03-19T15:00:00,2023-03-25T08:46:01,-15.6,37.24,2.4,37.257
2023-03-19T16:00:00,2023-03-25T08:45:01,86.7,40.72,7.4,42.088
2023-03-19T17:00:00,2023-03-25T08:44:01,9,64.61,7.8,42.769
2023-03-19T18:00:00,2023-03-25T08:43:01,-33.9,43.57,7.6,49.975
2023-03-19T19:00:00,2023-03-25T08:42:01,-10.3,47.81,5.8,48.797
2023-03-19T20:00:00,2023-03-25T08:41:01,8.2,65.8,5,29.342
2023-03-19T21:00:00,2023-03-25T08:40:01,-16.7,47.7,9.8,36.231
2023-03-19T22:00:00,2023-03-25T08:39:01,88.1,57,9.5,46.636
2023-03-19T23:00:00,2023-03-25T08:38:02,-16.5,33.01,6.6,41.879
2023-03-20T00:00:00,2023-03-25T08:37:01,87.3,48.76,3.3,30.452
2023-03-20T01:00:00,2023-03-25T08:36:01,44.5,66.85,0.2,44.411
2023-03-20T02:00:00,2023-03-25T08:35:01,-46.4,40.25,9,41.317
2023-03-20T03:00:00,2023-03-25T08:34:01,-36.5,65.73,4.2,46.694
2023-03-20T04:00:00,2023-03-25T08:33:01,69.5,67.92,3.8,33.75
2023-03-20T05:00:00,2023-03-25T08:32:01,-46.2,30.52,0.1,45.141
2023-03-20T06:00:00,2023-03-25T08:31:01,0.1,34.05,5.5,49.42
2023-03-26T09:00:00,2023-03-25T08:30:01,68.6,49.72,0.4,47.288
2023-03-26T08:00:00,2023-03-25T08:30:01,-17.8,45.64,1.7,35.184
