Time,Forecast time,Temperature,Humidity,Wind,Pressure
2023-03-19T09:00:00,2023-03-25T08:52:01,-19.7,54.08,2.7,42.522
2023-03-19T10:00:00,2023-03-25T08:51:01,69.4,67.47,2.1,33.44
2023-03-19T11:00:00,2023-03-25T08:50:01,-26.8,47.14,2.1,40.282
2023-03-19T12:00:00,2023-03-25T08:49:01,24.3,63.83,4,37.509
2023-03-19T13:00:00,2023-03-25T08:48:02,79.2,45.76,4.3,44.465
2023-03-19T14:00:00,2023-03-25T08:47:01,-9,53.88,3.4,37.982
2023-03-19T15:00:00,2023-03-25T08:46:01,-30.2,61.34,1.3,36.627
2023-03-19T16:00:00,2023-03-25T08:45:01,-43,52.91,1.1,40.767
2023-03-19T17:00:00,2023-03-25T08:44:01,65.3,63.44,7.4,42.006
2023-03-19T18:00:00,2023-03-25T08:43:01,29.6,39.46,4.5,45.263
2023-03-19T19:00:00,2023-03-25T08:42:01,42.4,53.14,1.7,32.705
2023-03-19T20:00:00,2023-03-25T08:41:01,-20.3,44.11,4.8,32.665
2023-03-19T21:00:00,2023-03-25T08:40:01,4.3,42.91,7.1,38.156
2023-03-19T22:00:00,2023-03-25T08:39:01,-49.9,46.57,8.9,41.021
2023-03-19T23:00:00,2023-03-25T08:38:02,-47.8,47.65,5.8,48.592
2023-03-20T00:00:00,2023-03-25T08:37:01,-13.5,61.47,3.3,35.824
2023-03-20T01:00:00,2023-03-25T08:36:01,65.1,64.85,5.6,34.036
2023-03-20T02:00:00,2023-03-25T08:35:01,-37.4,68.85,7.3,35.713
2023-03-20T03:00:00,2023-03-25T08:34:01,19.8,32.47,4.7,45.779
2023-03-20T04:00:00,2023-03-25T08:33:01,40.7,68.4,5.9,48.961
2023-03-20T05:00:00,2023-03-25T08:32:01,71.6,66.4,3.9,36.553
2023-03-20T06:00:00,2023-03-25T08:31:01,3.3,66.08,9.7,42.178
2023-03-26T09:00:00,2023-03-25T08:30:01,57.3,63.37,5.8,40.982
2023-03-26T08:00:00,2023-03-25T08:30:01,44.7,58.08,7.1,41.089
